stt,buying,maint,doors,persons,lug_boot,safety,acceptability
74,vhigh,vhigh,4,more,small,med,unacc
75,vhigh,vhigh,4,more,small,high,unacc
76,vhigh,vhigh,4,more,med,low,unacc
77,vhigh,vhigh,4,more,med,med,unacc
78,vhigh,vhigh,4,more,med,high,unacc
79,vhigh,vhigh,4,more,big,low,unacc
80,vhigh,vhigh,4,more,big,med,unacc
81,vhigh,vhigh,4,more,big,high,unacc
82,vhigh,vhigh,5more,2,small,low,unacc
83,vhigh,vhigh,5more,2,small,med,unacc
84,vhigh,vhigh,5more,2,small,high,unacc
85,vhigh,vhigh,5more,2,med,low,unacc
86,vhigh,vhigh,5more,2,med,med,unacc
87,vhigh,vhigh,5more,2,med,high,unacc
88,vhigh,vhigh,5more,2,big,low,unacc
89,vhigh,vhigh,5more,2,big,med,unacc
90,vhigh,vhigh,5more,2,big,high,unacc
91,vhigh,vhigh,5more,4,small,low,unacc
92,vhigh,vhigh,5more,4,small,med,unacc
93,vhigh,vhigh,5more,4,small,high,unacc
94,vhigh,vhigh,5more,4,med,low,unacc
95,vhigh,vhigh,5more,4,med,med,unacc
96,vhigh,vhigh,5more,4,med,high,unacc
97,vhigh,vhigh,5more,4,big,low,unacc
98,vhigh,vhigh,5more,4,big,med,unacc
99,vhigh,vhigh,5more,4,big,high,unacc
100,vhigh,vhigh,5more,more,small,low,unacc
101,vhigh,vhigh,5more,more,small,med,unacc
102,vhigh,vhigh,5more,more,small,high,unacc
103,vhigh,vhigh,5more,more,med,low,unacc
104,vhigh,vhigh,5more,more,med,med,unacc
105,vhigh,vhigh,5more,more,med,high,unacc
106,vhigh,vhigh,5more,more,big,low,unacc
107,vhigh,vhigh,5more,more,big,med,unacc
108,vhigh,vhigh,5more,more,big,high,unacc
109,vhigh,high,2,2,small,low,unacc
110,vhigh,high,2,2,small,med,unacc
111,vhigh,high,2,2,small,high,unacc
112,vhigh,high,2,2,med,low,unacc
113,vhigh,high,2,2,med,med,unacc
114,vhigh,high,2,2,med,high,unacc
115,vhigh,high,2,2,big,low,unacc
116,vhigh,high,2,2,big,med,unacc
117,vhigh,high,2,2,big,high,unacc
118,vhigh,high,2,4,small,low,unacc
119,vhigh,high,2,4,small,med,unacc
120,vhigh,high,2,4,small,high,unacc
121,vhigh,high,2,4,med,low,unacc
122,vhigh,high,2,4,med,med,unacc
123,vhigh,high,2,4,med,high,unacc
124,vhigh,high,2,4,big,low,unacc
125,vhigh,high,2,4,big,med,unacc
126,vhigh,high,2,4,big,high,unacc
127,vhigh,high,2,more,small,low,unacc
128,vhigh,high,2,more,small,med,unacc
129,vhigh,high,2,more,small,high,unacc
130,vhigh,high,2,more,med,low,unacc
131,vhigh,high,2,more,med,med,unacc
132,vhigh,high,2,more,med,high,unacc
133,vhigh,high,2,more,big,low,unacc
134,vhigh,high,2,more,big,med,unacc
135,vhigh,high,2,more,big,high,unacc
136,vhigh,high,3,2,small,low,unacc
137,vhigh,high,3,2,small,med,unacc
138,vhigh,high,3,2,small,high,unacc
139,vhigh,high,3,2,med,low,unacc
140,vhigh,high,3,2,med,med,unacc
141,vhigh,high,3,2,med,high,unacc
142,vhigh,high,3,2,big,low,unacc
143,vhigh,high,3,2,big,med,unacc
144,vhigh,high,3,2,big,high,unacc
145,vhigh,high,3,4,small,low,unacc
146,vhigh,high,3,4,small,med,unacc
147,vhigh,high,3,4,small,high,unacc
148,vhigh,high,3,4,med,low,unacc
149,vhigh,high,3,4,med,med,unacc
150,vhigh,high,3,4,med,high,unacc
151,vhigh,high,3,4,big,low,unacc
152,vhigh,high,3,4,big,med,unacc
153,vhigh,high,3,4,big,high,unacc
154,vhigh,high,3,more,small,low,unacc
155,vhigh,high,3,more,small,med,unacc
156,vhigh,high,3,more,small,high,unacc
157,vhigh,high,3,more,med,low,unacc
158,vhigh,high,3,more,med,med,unacc
159,vhigh,high,3,more,med,high,unacc
160,vhigh,high,3,more,big,low,unacc
161,vhigh,high,3,more,big,med,unacc
162,vhigh,high,3,more,big,high,unacc
163,vhigh,high,4,2,small,low,unacc
164,vhigh,high,4,2,small,med,unacc
165,vhigh,high,4,2,small,high,unacc
166,vhigh,high,4,2,med,low,unacc
167,vhigh,high,4,2,med,med,unacc
168,vhigh,high,4,2,med,high,unacc
169,vhigh,high,4,2,big,low,unacc
170,vhigh,high,4,2,big,med,unacc
171,vhigh,high,4,2,big,high,unacc
172,vhigh,high,4,4,small,low,unacc
173,vhigh,high,4,4,small,med,unacc
174,vhigh,high,4,4,small,high,unacc
175,vhigh,high,4,4,med,low,unacc
176,vhigh,high,4,4,med,med,unacc
177,vhigh,high,4,4,med,high,unacc
