stt,buying,maint,doors,persons,lug_boot,safety,acceptability
507,high,vhigh,4,more,small,high,unacc
508,high,vhigh,4,more,med,low,unacc
509,high,vhigh,4,more,med,med,unacc
510,high,vhigh,4,more,med,high,unacc
511,high,vhigh,4,more,big,low,unacc
512,high,vhigh,4,more,big,med,unacc
513,high,vhigh,4,more,big,high,unacc
514,high,vhigh,5more,2,small,low,unacc
515,high,vhigh,5more,2,small,med,unacc
516,high,vhigh,5more,2,small,high,unacc
517,high,vhigh,5more,2,med,low,unacc
518,high,vhigh,5more,2,med,med,unacc
519,high,vhigh,5more,2,med,high,unacc
520,high,vhigh,5more,2,big,low,unacc
521,high,vhigh,5more,2,big,med,unacc
522,high,vhigh,5more,2,big,high,unacc
523,high,vhigh,5more,4,small,low,unacc
524,high,vhigh,5more,4,small,med,unacc
525,high,vhigh,5more,4,small,high,unacc
526,high,vhigh,5more,4,med,low,unacc
527,high,vhigh,5more,4,med,med,unacc
528,high,vhigh,5more,4,med,high,unacc
529,high,vhigh,5more,4,big,low,unacc
530,high,vhigh,5more,4,big,med,unacc
