stt,buying,maint,doors,persons,lug_boot,safety,acceptability
226,vhigh,med,2,4,small,low,unacc
227,vhigh,med,2,4,small,med,unacc
228,vhigh,med,2,4,small,high,acc
229,vhigh,med,2,4,med,low,unacc
230,vhigh,med,2,4,med,med,unacc
231,vhigh,med,2,4,med,high,acc
232,vhigh,med,2,4,big,low,unacc
233,vhigh,med,2,4,big,med,acc
234,vhigh,med,2,4,big,high,acc
235,vhigh,med,2,more,small,low,unacc
236,vhigh,med,2,more,small,med,unacc
237,vhigh,med,2,more,small,high,unacc
238,vhigh,med,2,more,med,low,unacc
239,vhigh,med,2,more,med,med,unacc
240,vhigh,med,2,more,med,high,acc
241,vhigh,med,2,more,big,low,unacc
242,vhigh,med,2,more,big,med,acc
243,vhigh,med,2,more,big,high,acc
244,vhigh,med,3,2,small,low,unacc
245,vhigh,med,3,2,small,med,unacc
246,vhigh,med,3,2,small,high,unacc
247,vhigh,med,3,2,med,low,unacc
248,vhigh,med,3,2,med,med,unacc
249,vhigh,med,3,2,med,high,unacc
250,vhigh,med,3,2,big,low,unacc
251,vhigh,med,3,2,big,med,unacc
252,vhigh,med,3,2,big,high,unacc
253,vhigh,med,3,4,small,low,unacc
254,vhigh,med,3,4,small,med,unacc
255,vhigh,med,3,4,small,high,acc
256,vhigh,med,3,4,med,low,unacc
257,vhigh,med,3,4,med,med,unacc
258,vhigh,med,3,4,med,high,acc
259,vhigh,med,3,4,big,low,unacc
260,vhigh,med,3,4,big,med,acc
261,vhigh,med,3,4,big,high,acc
262,vhigh,med,3,more,small,low,unacc
263,vhigh,med,3,more,small,med,unacc
264,vhigh,med,3,more,small,high,acc
265,vhigh,med,3,more,med,low,unacc
266,vhigh,med,3,more,med,med,acc
267,vhigh,med,3,more,med,high,acc
268,vhigh,med,3,more,big,low,unacc
269,vhigh,med,3,more,big,med,acc
270,vhigh,med,3,more,big,high,acc
271,vhigh,med,4,2,small,low,unacc
272,vhigh,med,4,2,small,med,unacc
273,vhigh,med,4,2,small,high,unacc
274,vhigh,med,4,2,med,low,unacc
275,vhigh,med,4,2,med,med,unacc
276,vhigh,med,4,2,med,high,unacc
277,vhigh,med,4,2,big,low,unacc
278,vhigh,med,4,2,big,med,unacc
279,vhigh,med,4,2,big,high,unacc
280,vhigh,med,4,4,small,low,unacc
281,vhigh,med,4,4,small,med,unacc
282,vhigh,med,4,4,small,high,acc
283,vhigh,med,4,4,med,low,unacc
284,vhigh,med,4,4,med,med,acc
285,vhigh,med,4,4,med,high,acc
286,vhigh,med,4,4,big,low,unacc
287,vhigh,med,4,4,big,med,acc
288,vhigh,med,4,4,big,high,acc
289,vhigh,med,4,more,small,low,unacc
290,vhigh,med,4,more,small,med,unacc
291,vhigh,med,4,more,small,high,acc
292,vhigh,med,4,more,med,low,unacc
293,vhigh,med,4,more,med,med,acc
294,vhigh,med,4,more,med,high,acc
295,vhigh,med,4,more,big,low,unacc
296,vhigh,med,4,more,big,med,acc
297,vhigh,med,4,more,big,high,acc
298,vhigh,med,5more,2,small,low,unacc
299,vhigh,med,5more,2,small,med,unacc
300,vhigh,med,5more,2,small,high,unacc
301,vhigh,med,5more,2,med,low,unacc
302,vhigh,med,5more,2,med,med,unacc
303,vhigh,med,5more,2,med,high,unacc
304,vhigh,med,5more,2,big,low,unacc
305,vhigh,med,5more,2,big,med,unacc
306,vhigh,med,5more,2,big,high,unacc
307,vhigh,med,5more,4,small,low,unacc
308,vhigh,med,5more,4,small,med,unacc
309,vhigh,med,5more,4,small,high,acc
310,vhigh,med,5more,4,med,low,unacc
311,vhigh,med,5more,4,med,med,acc
312,vhigh,med,5more,4,med,high,acc
313,vhigh,med,5more,4,big,low,unacc
314,vhigh,med,5more,4,big,med,acc
315,vhigh,med,5more,4,big,high,acc
316,vhigh,med,5more,more,small,low,unacc
317,vhigh,med,5more,more,small,med,unacc
318,vhigh,med,5more,more,small,high,acc
319,vhigh,med,5more,more,med,low,unacc
320,vhigh,med,5more,more,med,med,acc
321,vhigh,med,5more,more,med,high,acc
322,vhigh,med,5more,more,big,low,unacc
323,vhigh,med,5more,more,big,med,acc
324,vhigh,med,5more,more,big,high,acc
325,vhigh,low,2,2,small,low,unacc
326,vhigh,low,2,2,small,med,unacc
327,vhigh,low,2,2,small,high,unacc
328,vhigh,low,2,2,med,low,unacc
329,vhigh,low,2,2,med,med,unacc
330,vhigh,low,2,2,med,high,unacc
331,vhigh,low,2,2,big,low,unacc
332,vhigh,low,2,2,big,med,unacc
333,vhigh,low,2,2,big,high,unacc
334,vhigh,low,2,4,small,low,unacc
335,vhigh,low,2,4,small,med,unacc
336,vhigh,low,2,4,small,high,acc
337,vhigh,low,2,4,med,low,unacc
338,vhigh,low,2,4,med,med,unacc
339,vhigh,low,2,4,med,high,acc
340,vhigh,low,2,4,big,low,unacc
341,vhigh,low,2,4,big,med,acc
342,vhigh,low,2,4,big,high,acc
343,vhigh,low,2,more,small,low,unacc
344,vhigh,low,2,more,small,med,unacc
345,vhigh,low,2,more,small,high,unacc
346,vhigh,low,2,more,med,low,unacc
347,vhigh,low,2,more,med,med,unacc
348,vhigh,low,2,more,med,high,acc
349,vhigh,low,2,more,big,low,unacc
350,vhigh,low,2,more,big,med,acc
351,vhigh,low,2,more,big,high,acc
352,vhigh,low,3,2,small,low,unacc
353,vhigh,low,3,2,small,med,unacc
354,vhigh,low,3,2,small,high,unacc
